Criteria,Scores: 95,Comments
Workload_Dist,4,"All group members contributed. There were a few members who contributed 
less than the top contributors but most work was evenly distributed"
Commits,4,427
Unique_Committers,4,10
Issue_Reports,4,19
Issues_Closed,4,19
Doc_Quality,3,"Basic GitHub md, text, formatting is good"
Func/Class_Desc,4,"ER Flowchar, App flowchart, no description of class/fuctions"
Tutorials,2,"Has pictures of each page and its purpose, no real mini-tutorials though
everything is straightforward and simple"
Doc_Storytelling,3,60%
Project_Videos,2,Yes has short video detailing why their prodict should be used
Version_Control,4,Git
Style_Checkers,4,Flake8
Code_Formatters,4,Flake8
Syntax_Checkers,4,Flake8
Code_Coverage,3,"Yes, using pytest-cov version 2.4.0 with 75% coverage"
Other_Tools,2,No
Test_Cases,3,Yes
Routine_Tests,3,Yes
CONTRIBUTING_Guide,4,"Yes, suffifient tips for a user to contribute"
Issue_Discussions,4,Yes
Chat_Channel,3,"No, just used GitHub Issues and PR to discuss"
Failing_Case_Issues,3,No
Team_Tool_Usage,3,Yes
Repo_Configs,3,Yes
Team_System_Knowledge,3,No
Team_Code_Contrib,3,No
Release_Cycles,4,"Yes, weekly iterations/updates"
Documentation_Video,4,6:46
Software_Eval,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,
Does your website and documentation clearly describe the type of user who should use your software?,Yes,
Do you publish case studies to show how your software has been used by yourself and others?,No,
Is the name of your project/software unique?*,Yes,
Is your project/software name free from trademark violations?,No,
Is your software available as a package that can be deployed without building it?,No,
Is your software available for free?,Yes,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,
" Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,
Is your documentation clearly available on your website or within your software?,Yes,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,
Do you store your documentation under revision control with your source code?,No,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",No,
Does your software describe how a user can get help with using your software?,Yes,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,
Does your project have an e-mail address or forum that is solely for supporting users?,No,
Are e-mails to your support e-mail address received by more than one person?,No,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,
Is your software’s architecture and design modular?,Yes,
Does your software use an accepted coding standard or convention?,Yes,
Does your software allow data to be imported and exported using open data formats?,No,
Does your software allow communications using open communications protocols?,No,
Is your software cross-platform compatible?,No,
Does your software adhere to appropriate accessibility conventions or standards?,Yes,
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
Is your source code stored in a repository under revision control?,Yes,
Is each source code release a snapshot of the repository?,Yes,
Are releases tagged in the repository?,Yes,
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,
Do you back-up your repository?,No,
Do you provide publicly-available instructions for building your software from the source code?,Yes,
"Can you build, or package, your software using an automated tool?",Yes,
Do you provide publicly-available instructions for deploying your software?,Yes,
Does your documentation list all third-party dependencies?,No,
Does your documentation list the version number for all third-party dependencies?,No,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
Can you download dependencies using a dependency management tool or package manager?,Yes,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,No,
Do you have an automated test suite for your software?,Yes,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,
Are your test results publicly visible?,No,
Are all manually-run tests documented?,No,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
Does your website state how many projects and users are associated with your project?,No,
Do you provide success stories on your website?,No,
Do you list your important partners and collaborators on your website?,No,
Do you list your project's publications on your website or link to a resource where these are available?,No,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Can users subscribe to notifications to changes to your source code repository?,No,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
Do you have a contributions policy?,Yes,
Is your contributions' policy publicly available?,Yes,
Do contributors keep the copyright/IP of their contributions?,Yes,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
Does each of your source code files include a copyright statement?,No,
Does your website and documentation clearly state the licence of your software?,Yes,
Is your software released under an open source licence?,Yes,
Is your software released under an OSI-approved open-source licence?,Yes,
Does each of your source code files include a licence header?,No,
Do you have a recommended citation for your software?,No,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
