"Criteria","Score","Comments"
"Workload_Dist",3,"All members committed. 
workload was evenly divided
As per graphs/contributors in insights"
"Commits",3,"341"
"Unique_Committers",3,"All members committed as per 
Commits/main"
"Issue_Reports",2,"19"
"Issues_Closed",1,"5"
"Doc_Quality",2,"Github, text"
"Func/Class_Desc",2,"API description."
"Tutorials",2,"Github actions implemented : pytest_ci workflow 
responsible for testing"
"Doc_Storytelling",2,"80%"
"Project_Videos",3,"Yes."
"Version_Control",3,"Git"
"Style_Checkers",3,"config files in GH showing this checker's config"
"Code_Formatters",3,"yes"
"Syntax_Checkers",,3"yes"
"Code_Coverage",3,"yes"
"Other_Tools",3,"yes"
"Test_Cases",0,"no"
"Routine_Tests",0,"no"
"CONTRIBUTING_Guide",3,"yes"
"Issue_Discussions",1,"no"
"Chat_Channel",2,"Not in Github"
"Failing_Case_Issues",1,"No"
"Team_Tool_Usage",2,"Same package, server and config files updated by everyone."
"Repo_Configs",3,"Yes"
"Team_System_Knowledge",1,"no"
"Team_Code_Contrib",1,"no"
"Release_Cycles",0,"1 release"
"Documentation_Video",2,"1:58 sec"
"Software_Eval",,""
